Date,Number of incidents,Class_Total_inc,SingleV_incidents,2V_incidents,MultiV_incidents,Ped_incidents,Rush_hourM,Rush_hourA,Total_Rush,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),Spd of Max Gust (km/h)
3/28/2018,16,1,4,9,2,2,1,3,4,0,1.3,0,4,33
3/29/2018,31,2,4,16,8,3,2,5,7,-5,0,0.2,0,37
3/30/2018,9,0,5,2,2,0,0,0,0,-10.3,0,2.6,2,44
3/31/2018,10,0,6,3,0,1,0,0,0,-14.7,0,2.2,4,33
4/1/2018,7,0,2,3,2,0,0,0,0,-10.9,0,0,4,29
4/2/2018,10,0,2,5,3,0,0,0,0,-8.3,0,0,4,29
4/3/2018,17,1,1,13,2,1,0,0,0,-9.5,0,0,4,33
4/4/2018,9,0,2,5,0,2,0,0,0,-5.5,0,0,4,52
4/5/2018,12,0,1,9,2,0,0,0,0,-9.6,0.2,0,1,37
4/6/2018,20,1,2,15,3,0,0,0,0,-12.7,0,1.4,1,52
4/7/2018,16,1,6,8,2,0,0,0,0,-11.5,0,3.8,1,32
4/8/2018,25,2,14,8,3,0,0,0,0,-6.9,0,5.3,7,29
4/9/2018,14,0,2,8,3,1,0,0,0,0.6,0,0,7,29
4/10/2018,17,1,4,10,1,2,0,4,4,2.9,0,0,7,29
4/11/2018,11,0,1,9,1,0,2,2,4,1.9,0,0,3,30
4/12/2018,29,2,14,13,2,0,0,1,1,-2.8,1.2,4.4,0,33
4/13/2018,32,2,9,16,7,0,3,7,10,2,0,1.2,2,32
4/14/2018,15,0,3,11,0,1,0,3,3,3.9,0,0,0,39
4/15/2018,9,0,1,6,2,0,0,4,4,3.4,0,0,0,39
4/16/2018,11,0,2,7,1,1,1,2,3,0,0,8.5,1,43
4/17/2018,10,0,0,6,4,0,0,3,3,0.2,0,0,4,30
4/18/2018,14,0,3,8,3,1,4,3,7,2.5,0,0,1,32
4/19/2018,6,0,2,2,1,1,1,3,4,3,0,0,0,37
4/20/2018,16,1,4,6,3,3,3,4,7,6.2,0,0,0,37
4/21/2018,5,0,1,3,1,0,0,1,1,8.3,0,0,0,70
4/22/2018,10,0,5,4,0,1,0,3,3,6.5,0,0,0,50
4/23/2018,12,0,1,7,4,0,1,2,3,6.3,0,0,0,37
4/24/2018,17,1,1,13,3,0,0,2,2,9.8,0,0,0,33
4/25/2018,16,1,4,11,1,0,0,5,5,9.8,0,0,0,56
4/26/2018,10,0,1,7,1,1,0,4,4,11.7,0,0,0,32
4/27/2018,10,0,3,5,2,0,0,4,4,12.9,0,0,0,57
4/28/2018,13,0,2,9,2,0,0,3,3,14.9,0,0,0,32
4/29/2018,7,0,0,6,0,1,0,1,1,10.3,6,0,0,74
4/30/2018,14,0,0,11,2,1,2,4,6,8.2,0.8,0,0,30
5/1/2018,9,0,1,7,1,0,0,0,0,9.4,0.4,0,0,59
5/2/2018,9,0,1,8,0,0,0,0,0,9.9,0,0,0,57
5/3/2018,10,0,1,7,2,0,0,0,0,13.1,0,0,0,56
5/4/2018,11,0,3,7,1,0,0,0,0,14.5,0,0,0,46
5/5/2018,9,0,0,7,2,0,0,0,0,13.6,0,0,0,30
5/6/2018,7,0,1,5,0,1,0,0,0,14.1,0,0,0,29
5/7/2018,15,0,2,10,3,0,0,0,0,16.7,0,0,0,50
5/8/2018,8,0,0,6,2,0,0,0,0,17.7,0,0,0,52
5/9/2018,12,0,1,8,2,1,0,0,0,9.4,1.7,0,0,35
5/10/2018,18,1,3,15,0,0,2,2,4,6.3,2.6,0,0,41
5/11/2018,21,2,1,19,1,0,2,5,7,9.9,0.2,0,0,50
5/12/2018,12,0,0,9,2,1,0,3,3,12.8,0,0,0,30
5/13/2018,9,0,0,7,2,0,1,2,3,15.4,0,0,0,46
5/14/2018,18,1,0,14,4,0,4,3,7,18.4,0,0,0,41
5/15/2018,16,1,2,11,3,0,0,5,5,19.9,0,0,0,35
5/16/2018,20,1,4,11,4,1,0,7,7,19,0,0,0,59
5/17/2018,15,0,2,12,0,1,0,6,6,9.3,10.8,0,0,56
5/18/2018,10,0,1,8,1,0,0,5,5,10.1,1.8,0,0,41
5/19/2018,7,0,0,5,2,0,0,4,4,9.9,0,0,0,59
5/20/2018,4,0,0,2,1,1,0,2,2,14.3,0,0,0,39
5/21/2018,3,0,0,3,0,0,0,0,0,16.3,0,0,0,35
5/22/2018,16,1,3,10,1,2,0,4,4,18.2,0,0,0,39
5/23/2018,12,0,0,7,5,0,0,4,4,18.5,0,0,0,44
5/24/2018,8,0,2,5,0,1,1,1,2,19.8,0.2,0,0,74
5/25/2018,13,0,0,12,1,0,0,6,6,18.3,0,0,0,33
5/26/2018,9,0,0,8,1,0,0,5,5,18.1,0,0,0,56
5/27/2018,10,0,1,8,1,0,0,5,5,16.9,0,0,0,35
5/28/2018,11,0,1,6,4,0,4,5,9,20,0,0,0,43
5/29/2018,8,0,0,5,2,1,3,2,5,13.1,0,0,0,63
5/30/2018,10,0,1,8,1,0,0,4,4,11.2,4.2,0,0,41
5/31/2018,12,0,0,8,2,2,3,4,7,6.9,10.6,0,0,33
6/1/2018,11,0,1,8,2,0,0,0,0,11,10.7,0,0,43
6/2/2018,10,0,3,5,2,0,0,0,0,12.1,0,0,0,52
6/3/2018,7,0,2,3,1,1,0,0,0,14.6,0,0,0,44
6/4/2018,19,1,2,11,6,0,0,0,0,13.8,0.6,0,0,56
6/5/2018,22,2,2,15,2,3,0,0,0,11.8,0,0,0,39
6/6/2018,17,1,4,9,3,1,0,0,0,15.4,0,0,0,33
6/7/2018,24,2,2,14,8,1,0,0,0,17.6,0,0,0,35
6/8/2018,12,0,5,5,1,1,0,0,0,20.1,0,0,0,39
6/9/2018,17,1,2,13,2,0,0,0,0,19.6,0.8,0,0,59
6/10/2018,13,0,4,8,1,0,0,2,2,9.4,12,0,0,50
6/11/2018,17,1,4,11,1,1,4,3,7,11.2,0,0,0,70
6/12/2018,21,2,1,16,4,0,3,14,17,14.6,0,0,0,61
6/13/2018,14,0,3,10,1,0,4,3,7,16.7,0,0,0,56
6/14/2018,10,0,1,8,0,1,3,3,6,11.3,0.8,0,0,41
6/15/2018,14,0,0,13,1,0,0,5,5,11.6,0,0,0,32
6/16/2018,16,1,2,13,1,0,0,2,2,12.9,6.6,0,0,52
6/17/2018,14,0,4,10,0,0,0,2,2,13.6,0,0,0,33
6/18/2018,12,0,2,7,3,0,3,4,7,15.1,0,0,0,30
6/19/2018,21,2,2,15,4,0,5,5,10,17.6,0,0,0,39
6/20/2018,23,2,3,15,5,0,7,9,16,19.4,0,0,0,43
6/21/2018,18,1,3,11,4,0,3,5,8,19,0,0,0,54
6/22/2018,23,2,2,17,3,1,3,7,10,17.8,3.2,0,0,44
6/23/2018,8,0,3,5,0,0,0,1,1,16.8,27,0,0,50
6/24/2018,10,0,5,5,0,0,1,3,4,18.5,0,0,0,37
6/25/2018,8,0,0,6,1,1,2,4,6,20,0,0,0,65
6/26/2018,19,1,1,13,5,1,2,9,11,15.3,0,0,0,67
6/27/2018,18,1,1,15,2,0,4,5,9,15,0,0,0,54
6/28/2018,16,1,1,8,6,1,2,6,8,14.3,1,0,0,39
6/29/2018,21,2,3,16,1,1,6,6,12,14.4,4.2,0,0,33
6/30/2018,19,1,4,13,1,1,1,5,6,13.9,0,0,0,44
7/1/2018,8,0,2,4,2,0,0,0,0,14.8,0,0,0,48
7/2/2018,6,0,1,5,0,0,0,0,0,11.5,1.6,0,0,39
7/3/2018,17,1,3,10,4,0,0,0,0,11.9,0.8,0,0,39
7/4/2018,19,1,4,12,3,0,0,0,0,14.5,4.2,0,0,33
7/5/2018,17,1,2,13,2,0,0,0,0,17.4,0,0,0,46
7/6/2018,16,1,1,10,3,2,0,0,0,23.3,0,0,0,29
7/7/2018,10,0,3,6,1,0,0,0,0,19.2,0,0,0,52
7/8/2018,7,0,1,6,0,0,0,0,0,16.5,0,0,0,33
7/9/2018,20,1,4,11,5,0,0,0,0,19.5,0,0,0,41
7/10/2018,16,1,5,10,1,0,3,2,5,15.8,8.9,0,0,48
7/11/2018,15,0,0,12,3,0,1,8,9,19.7,0,0,0,37
7/12/2018,18,1,2,11,5,0,4,5,9,18.8,0,0,0,37
7/13/2018,18,1,3,12,3,0,4,4,8,21.4,0,0,0,96
7/14/2018,13,0,3,6,3,1,3,2,5,14.6,2.2,0,0,48
7/15/2018,9,0,0,8,0,1,1,2,3,17.4,0,0,0,37
7/16/2018,20,1,1,17,1,2,5,1,6,21.1,0,0,0,48
7/17/2018,10,0,1,9,0,0,3,5,8,22.2,0,0,0,33
7/18/2018,18,1,3,12,3,0,5,8,13,20.2,0,0,0,65
7/19/2018,23,2,5,16,4,0,7,2,9,19.5,0.4,0,0,41
7/20/2018,24,2,6,16,1,1,2,8,10,20.3,0,0,0,48
7/21/2018,13,0,0,10,3,0,0,3,3,16.8,0.4,0,0,54
7/22/2018,5,0,0,4,1,0,0,2,2,16.7,0,0,0,57
7/23/2018,16,1,6,5,5,0,4,7,11,15.9,3.8,0,0,74
7/24/2018,24,2,4,15,5,0,3,15,18,13.6,7.2,0,0,39
7/25/2018,21,2,2,15,5,0,2,9,11,16,0.4,0,0,35
7/26/2018,12,0,0,9,1,2,2,4,6,18.1,3.4,0,0,65
7/27/2018,15,0,0,10,5,0,3,4,7,16.1,0,0,0,29
7/28/2018,15,0,6,6,1,2,3,3,6,17.6,0,0,0,29
7/29/2018,7,0,0,7,0,0,0,0,0,20,0,0,0,29
7/30/2018,19,1,3,11,5,0,4,3,7,22.2,0.8,0,0,72
7/31/2018,21,2,2,14,4,1,1,6,7,19.2,0.4,0,0,39
8/1/2018,14,0,1,9,4,1,0,0,0,21.9,14.5,0,0,43
8/2/2018,15,0,5,5,4,1,0,0,0,18.3,3.8,0,0,35
8/3/2018,18,1,3,12,2,1,0,0,0,18.5,4.2,0,0,52
8/4/2018,8,0,0,8,0,0,0,0,0,15.4,2.8,0,0,43
8/5/2018,9,0,1,4,3,1,0,0,0,17.5,0,0,0,29
8/6/2018,9,0,4,5,0,0,0,0,0,19.6,0,0,0,35
8/7/2018,8,0,2,6,0,0,0,0,0,21.7,0,0,0,39
8/8/2018,16,1,4,10,2,0,0,0,0,20.8,0,0,0,35
8/9/2018,13,0,1,9,0,3,0,0,0,23.5,0,0,0,35
8/10/2018,17,1,4,13,1,0,2,6,8,26.2,0,0,0,50
8/11/2018,17,1,3,9,4,1,2,4,6,20.1,0.8,0,0,69
8/12/2018,9,0,0,8,1,0,0,3,3,13.9,7.4,0,0,69
8/13/2018,18,1,1,13,4,1,1,8,9,14.6,0,0,0,33
8/14/2018,22,2,3,16,3,2,4,10,14,18.7,0,0,0,29
8/15/2018,12,0,2,7,3,0,1,4,5,19.6,0,0,0,30
8/16/2018,13,0,4,7,3,0,1,3,4,19.3,0,0,0,33
8/17/2018,18,1,1,17,0,0,4,8,12,20,0,0,0,35
8/18/2018,7,0,1,6,0,0,0,1,1,13.5,0,0,0,48
8/19/2018,6,0,1,5,0,0,0,0,0,11.7,0,0,0,30
8/20/2018,11,0,0,8,3,0,1,4,5,15,0.8,0,0,35
8/21/2018,27,2,4,19,5,0,7,8,15,16,0,0,0,33
8/22/2018,20,1,4,14,1,1,3,6,9,20.6,0,0,0,29
8/23/2018,12,0,0,10,1,1,2,4,6,19.4,0,0,0,50
8/24/2018,21,2,2,14,5,0,1,6,7,12.4,6.4,0,0,54
8/25/2018,7,0,1,5,0,1,1,1,2,12.8,0,0,0,29
8/26/2018,13,0,6,5,2,0,1,1,2,14,5.8,0,0,57
8/27/2018,15,0,2,8,4,1,2,8,10,9.3,2,0,0,57
8/28/2018,15,0,1,10,3,1,2,3,5,12,0,0,0,39
8/29/2018,19,1,1,16,2,0,3,11,14,15.7,0.6,0,0,50
8/30/2018,20,1,2,12,5,1,4,7,11,14.3,0.6,0,0,61
8/31/2018,25,2,2,16,6,2,4,7,11,13.2,0,0,0,56
9/1/2018,17,1,3,9,3,2,0,0,0,11.7,1.6,0,0,57
9/2/2018,10,0,3,6,1,0,0,0,0,12.6,0,0,0,44
9/3/2018,7,0,1,2,3,1,0,0,0,11.2,2.1,0,0,54
9/4/2018,14,0,1,12,0,1,0,0,0,9.8,0,0,0,33
9/5/2018,23,2,5,14,3,1,0,0,0,12,0,0,0,39
9/6/2018,22,2,3,17,1,1,0,0,0,14.5,0,0,0,35
9/7/2018,24,2,3,15,5,1,0,0,0,17.7,0,0,0,29
9/8/2018,13,0,2,8,3,0,0,0,0,16.3,0,0,0,54
9/9/2018,6,0,2,2,2,0,0,0,0,13,0,0,0,29
9/10/2018,23,2,3,12,10,0,5,7,12,11.6,5.4,0,0,39
9/11/2018,33,2,6,17,8,2,8,13,21,10.8,0.8,0,0,43
9/12/2018,11,0,3,7,1,0,0,6,6,4.2,0,0,0,43
9/13/2018,9,0,1,5,3,0,4,3,7,0.3,0.2,0,0,29
9/14/2018,13,0,2,8,3,0,2,6,8,1.1,0.2,0,0,29
9/15/2018,8,0,1,6,1,0,0,2,2,3.5,0.6,0,0,32
9/16/2018,15,0,5,9,1,0,0,4,4,2.6,0.4,0.6,0,29
9/17/2018,17,1,3,11,3,0,4,5,9,6.9,0.8,0,0,29
9/18/2018,18,1,2,10,5,1,9,6,15,4.8,0.4,0,0,29
9/19/2018,11,0,0,6,5,0,5,2,7,7.4,0.6,0,0,29
9/20/2018,23,2,1,18,2,3,8,7,15,5.1,0,0,0,33
9/21/2018,20,1,5,10,3,2,5,4,9,2.8,4,0.2,0,30
9/22/2018,17,1,3,10,3,1,1,4,5,-0.2,1.4,0,0,29
9/23/2018,13,0,6,3,3,1,1,2,3,3.3,0.8,0,0,29
9/24/2018,14,0,2,8,3,1,2,7,9,8.8,1.8,0,0,74
9/25/2018,17,1,0,11,5,1,6,8,14,10.5,0,0,0,37
9/26/2018,12,0,2,8,2,0,2,5,7,10.3,1.6,0,0,35
9/27/2018,18,1,1,15,1,1,5,6,11,3.3,12.1,0,0,32
9/28/2018,22,2,5,14,3,0,5,3,8,3.6,0.6,0.6,0,35
9/29/2018,23,2,7,15,1,0,1,4,5,0.7,0,0,0,35
9/30/2018,14,0,4,9,0,1,1,3,4,-1.6,0,0.4,0,43
10/1/2018,17,1,3,11,3,0,6,4,10,-0.8,0.1,5.3,0,29
10/2/2018,39,2,17,13,9,0,8,2,10,-3,0,32.8,17,29
10/3/2018,41,2,13,24,5,0,12,6,18,-4.7,0,1,30,29
10/4/2018,27,2,5,16,6,1,4,11,15,-1.2,0,0,16,29
10/5/2018,32,2,2,20,11,0,8,8,16,0.1,0,0,9,29
10/6/2018,15,0,0,14,1,0,0,1,1,2.5,0,0,6,29
10/7/2018,1,0,1,0,0,0,0,0,0,3,0,0,5,29
10/8/2018,4,0,0,4,0,0,0,1,1,-0.8,0.2,1.7,2,39
10/9/2018,28,2,6,10,11,1,16,5,21,-3.7,0,6.4,3,37
10/10/2018,10,0,0,8,2,0,1,6,7,-2.1,0,1,5,33
10/11/2018,15,0,3,7,5,0,3,4,7,1.4,0,0,4,29
10/12/2018,28,2,1,23,4,1,3,15,18,6.9,9.8,0,3,80
10/13/2018,12,0,3,7,2,0,0,5,5,-1,0,0.2,1,48
10/14/2018,6,0,3,2,0,1,1,1,2,3.4,0,0,1,41
10/15/2018,22,2,5,11,2,4,5,9,14,10.1,0,0,0,48
10/16/2018,19,1,1,14,3,1,6,8,14,10.5,0,0,0,35
10/17/2018,29,2,4,17,5,3,5,8,13,11.7,0,0,0,29
10/18/2018,14,0,0,12,2,0,5,4,9,10.4,0,0,0,56
10/19/2018,22,2,3,13,4,2,4,4,8,6.2,0,0,0,29
10/20/2018,21,2,3,14,3,1,1,6,7,10.6,0,0,0,43
10/21/2018,9,0,3,5,0,1,2,2,4,4.7,0,0,0,29
10/22/2018,20,1,1,11,6,2,4,4,8,5,0,0,0,30
10/23/2018,24,2,4,13,7,1,4,8,12,7.8,0,0,0,29
10/24/2018,21,2,2,15,2,2,7,2,9,8.9,0,0,0,50
10/25/2018,17,1,0,12,4,1,5,5,10,7.3,0,0,0,56
10/26/2018,34,2,2,24,7,1,5,13,18,7.7,0,0,0,52
10/27/2018,15,0,2,12,1,0,0,5,5,5.9,0,0,0,59
10/28/2018,3,0,1,1,1,0,0,1,1,6.4,0,0,0,43
10/29/2018,19,1,2,10,4,3,6,6,12,4.7,0,0,0,43
10/30/2018,23,2,2,17,2,2,7,8,15,5.1,0,0,0,48
10/31/2018,19,1,3,11,5,0,5,6,11,5.7,0,0,0,37
11/1/2018,12,0,3,8,1,0,2,3,5,4.1,0,0,0,58
11/2/2018,14,0,2,8,3,1,3,3,6,1,0,0,0,46
11/3/2018,7,0,3,3,0,1,0,3,3,4.6,0,0,0,41
11/4/2018,5,0,0,3,1,1,0,3,3,5.2,1.4,0,0,59
11/5/2018,35,2,5,27,3,0,2,23,25,-5.5,0,2.5,0,45
11/6/2018,11,0,2,7,2,0,0,5,5,-8.5,0,3,2,10
11/7/2018,19,1,3,12,4,0,3,7,10,-7.4,0,0.2,3,10
11/8/2018,15,0,1,12,1,1,5,3,8,-6.8,0,0,3,10
11/9/2018,24,2,3,14,6,1,5,9,14,-2,0.2,0.2,2,48
11/10/2018,12,0,2,5,5,0,0,4,4,0.2,0,0,0,58
11/11/2018,9,0,4,3,2,0,1,1,2,-4.2,0,1.4,1,10
11/12/2018,13,0,0,11,2,0,1,2,3,0.1,0,0,1,10
11/13/2018,19,1,3,14,2,0,5,6,11,7.3,0,0,0,68
11/14/2018,20,1,3,14,2,1,4,5,9,5.8,0,0,0,58
11/15/2018,23,2,3,14,4,2,4,9,13,2.9,0,0,0,32
11/16/2018,19,1,11,6,2,0,4,8,12,-5.9,0,3.2,1,89
11/17/2018,26,2,3,14,7,2,3,5,8,-6.7,0,0,2,10
11/18/2018,7,0,2,4,0,1,0,3,3,0.6,3.6,0,1,46
11/19/2018,25,2,5,15,4,1,8,7,15,4.5,0,0,0,10
11/20/2018,13,0,0,11,0,2,8,0,8,6.2,0,0,0,52
11/21/2018,14,0,2,11,1,0,0,11,11,3.6,0,0,0,10
11/22/2018,19,1,0,13,3,3,4,5,9,4.2,0,0,0,32
11/23/2018,50,2,11,35,4,0,6,27,33,-1.9,0,13.2,0,10
11/24/2018,12,0,3,5,3,1,3,3,6,-6.4,0,4.2,15,10
11/25/2018,8,0,2,5,0,1,0,4,4,-3.3,0,0,13,10
11/26/2018,8,0,1,6,1,0,2,4,6,-1.8,0,0,10,10
11/27/2018,21,2,1,13,5,2,4,4,8,5.8,0,0,9,50
11/28/2018,16,1,0,10,4,2,2,7,9,3.9,0,0,3,41
11/29/2018,4,0,0,3,1,0,3,0,3,0,0,0,3,35
11/30/2018,10,0,0,9,1,0,0,7,7,-3.3,0,0,2,10
12/1/2018,17,1,2,9,6,0,0,5,5,-3.7,0,7,2,10
12/2/2018,21,2,13,8,0,0,6,2,8,-3.7,0,4,12,32
12/3/2018,29,2,5,21,3,0,8,8,16,-6.4,0,0.3,11,10
12/4/2018,26,2,2,18,5,1,8,5,13,-4.4,0,0.2,10,46
12/5/2018,27,2,7,14,6,0,8,7,15,-8.5,0.2,0,8,54
12/6/2018,26,2,2,15,7,2,5,10,15,-10.8,0,0,9,10
12/7/2018,28,2,4,14,9,2,8,4,12,-7.4,0,0,9,10
12/8/2018,17,1,2,9,6,0,2,2,4,-4.5,0,0,8,10
12/9/2018,11,0,2,8,1,0,0,2,2,-1.1,0,0,8,54
12/10/2018,20,1,1,12,7,0,4,4,8,3.9,0,0,7,58
12/11/2018,8,0,0,3,5,0,3,3,6,-0.8,0,0,3,35
12/12/2018,23,2,3,13,7,0,4,4,8,0,0,0,3,54
12/13/2018,20,1,0,15,4,1,3,9,12,0.1,0,0,9,32
12/14/2018,27,2,1,18,5,3,1,15,16,1.2,0,0,9,46
12/15/2018,18,1,0,11,5,2,2,5,7,0.5,0,0,8,55
12/16/2018,7,0,2,5,0,0,1,0,1,-1.8,0,0,7,10
12/17/2018,15,0,5,7,1,2,4,3,7,1.5,0,0,7,50
12/18/2018,16,1,1,9,1,5,2,7,9,2.1,0,0,7,48
12/19/2018,22,2,2,10,7,3,3,11,14,2.2,0,0,3,54
12/20/2018,21,2,2,14,4,1,6,5,11,2.9,0,0,4,58
12/21/2018,26,2,4,18,2,2,4,3,7,1.2,0,0,4,63
12/22/2018,13,0,3,7,2,1,0,4,4,-5.3,0,0,4,33
12/23/2018,5,0,0,5,0,0,0,1,1,-2.6,0,0,3,45
12/24/2018,14,0,2,9,0,3,2,3,5,-8,0,0,3,10
12/25/2018,11,0,2,9,0,0,0,1,1,-5.9,0,0.8,3,10
12/26/2018,5,0,3,2,0,0,0,1,1,-6.3,0,0.3,3,10
12/27/2018,21,2,6,15,0,0,0,2,2,-7.3,0,1,4,10
12/28/2018,8,0,0,7,1,0,0,3,3,-5.6,0,0,4,54
12/29/2018,4,0,0,2,2,0,0,0,0,2.6,0,0,4,42
12/30/2018,11,0,2,6,3,0,2,3,5,-4.9,0,1.3,4,67
12/31/2018,13,0,0,9,4,0,0,5,5,-11.4,0,0,4,2
1/1/2019,6,0,1,3,0,2,0,0,0,-2.9,0,0,4,50
1/2/2019,15,0,3,8,2,2,0,0,0,8,0,0,3,72
1/3/2019,14,0,1,11,1,1,0,0,0,4.6,0,0,0,65
1/4/2019,26,2,3,14,8,1,0,0,0,1.6,0,0,0,74
1/5/2019,10,0,2,6,1,1,0,0,0,-7,0,0,0,10
1/6/2019,6,0,0,3,2,1,0,0,0,-0.7,0,0,0,55
1/7/2019,20,1,3,11,6,0,0,0,0,-8.8,0,0,0,31
1/8/2019,21,2,4,11,5,1,0,0,0,-10.3,0,0,0,32
1/9/2019,17,1,2,10,2,3,0,0,0,-7.6,0,0,0,10
1/10/2019,17,1,3,10,2,2,6,6,12,-0.5,0,0,0,41
1/11/2019,18,1,2,12,4,0,7,1,8,-1,0,0,0,39
1/12/2019,10,0,1,7,1,1,1,1,2,3,0,0,0,37
1/13/2019,10,0,2,8,0,0,2,4,6,2.1,0,0,0,10
1/14/2019,19,1,0,12,6,1,4,8,12,1.5,0,0,0,45
1/15/2019,17,1,1,10,5,1,4,7,11,-6.1,0,0,0,10
1/16/2019,22,2,3,16,0,3,4,5,9,-6.7,0,3,0,10
1/17/2019,23,2,7,14,2,0,2,6,8,-12.4,0,4.8,4,10
1/18/2019,33,2,7,21,5,0,7,5,12,-15.6,0,0,7,10
1/19/2019,17,1,1,15,0,1,0,4,4,-6.7,0,0,6,37
1/20/2019,10,0,4,5,0,1,1,3,4,-3.8,0,0,5,39
1/21/2019,19,1,4,11,4,0,3,7,10,-4.9,0,0,4,10
1/22/2019,21,2,4,11,6,0,7,8,15,-3.4,0,0,3,59
1/23/2019,17,1,4,8,4,1,3,3,6,-7.1,0,1.2,5,58
1/24/2019,15,0,2,9,3,1,5,5,10,-8.1,0,0.2,6,42
1/25/2019,16,1,1,13,2,0,1,5,6,-1.7,0,1,6,39
1/26/2019,8,0,1,6,0,1,0,1,1,3.9,0,0,5,50
1/27/2019,12,0,4,7,1,0,0,2,2,3,1.7,0,5,81
1/28/2019,15,0,1,8,6,0,6,2,8,-5,0,0,1,39
1/29/2019,17,1,1,10,3,3,6,5,11,-7.1,0,0,0,35
1/30/2019,16,1,2,10,4,0,5,5,10,-1.5,0,0,1,32
1/31/2019,17,1,2,13,2,0,3,6,9,2.1,0,0,1,10
2/1/2019,8,0,1,5,1,1,0,0,0,-9.7,0,1.3,0,41
2/2/2019,13,0,9,3,1,0,0,0,0,-19.3,0,1.2,1,50
2/3/2019,16,1,6,7,3,0,0,0,0,-25,0,0.8,3,32
2/4/2019,18,1,4,9,4,1,0,0,0,-26.2,0,0.8,4,10
2/5/2019,34,2,9,20,5,0,0,0,0,-24.8,0,0,4,10
2/6/2019,35,2,7,18,10,0,0,0,0,-21.1,0,0,4,10
2/7/2019,30,2,4,21,3,2,0,0,0,-18.3,0,0.2,3,10
2/8/2019,42,2,14,24,4,0,0,0,0,-18.6,0,3,2,52
2/9/2019,29,2,15,11,3,0,0,0,0,-26,0,0.2,3,10
2/10/2019,16,1,5,5,4,2,5,2,7,-26.6,0,2,3,10
2/11/2019,41,2,16,20,5,0,8,13,21,-24.1,0,2.7,5,33
2/12/2019,36,2,13,20,3,0,15,2,17,-23.7,0,2,7,10
2/13/2019,41,2,8,28,5,0,9,15,24,-20.5,0,1.4,10,10
2/14/2019,16,1,4,9,2,1,3,1,4,-16.5,0,0,8,10
2/15/2019,32,2,12,18,2,0,4,5,9,-19.6,0,4.8,8,10
2/16/2019,31,2,10,17,4,0,4,3,7,-16.5,0,3.5,12,55
2/17/2019,11,0,6,5,0,0,0,1,1,-17.8,0,2.1,10,45
2/18/2019,13,0,5,8,0,0,1,3,4,-18.8,0,0,12,10
2/19/2019,16,1,3,11,2,0,5,2,7,-10.7,0,0.2,11,10
2/20/2019,22,2,6,14,2,0,7,4,11,-8.9,0,3.1,11,58
2/21/2019,12,0,2,9,1,0,3,5,8,-14.1,0,0,7,48
2/22/2019,17,1,2,13,2,0,3,3,6,-8,0,0,7,52
2/23/2019,24,2,10,13,1,0,7,5,12,-12.1,0,3.9,6,58
2/24/2019,17,1,7,10,0,0,4,4,8,-20.4,0,0.6,7,32
2/25/2019,20,1,3,15,2,0,7,6,13,-23.4,0,0,6,10
2/26/2019,17,1,1,12,4,0,3,6,9,-18.1,0,0,6,10
2/27/2019,18,1,3,14,0,1,3,4,7,-11.9,0,0,6,10
2/28/2019,10,0,1,8,1,0,5,0,5,-9.2,0,0,5,39
3/1/2019,12,0,1,8,3,0,0,0,0,-17.3,0,0.7,5,42
3/2/2019,4,0,1,2,1,0,0,0,0,-25.6,0,0,5,10
3/3/2019,9,0,3,3,2,1,0,0,0,-20.8,0,0,5,10
3/4/2019,16,1,3,9,4,0,0,0,0,-15.2,0,0,5,10
3/5/2019,16,1,4,6,4,2,0,0,0,-12.8,0,0,4,10
3/6/2019,9,0,3,3,3,0,0,0,0,-17.4,0,0,3,46
3/7/2019,14,0,2,12,0,0,0,0,0,-12.8,0,2.4,4,35
3/8/2019,21,2,4,14,3,0,0,0,0,-8.7,0,0,6,10
3/9/2019,13,0,1,10,1,1,0,0,0,-8.8,0,0,6,10
3/10/2019,5,0,0,5,0,0,0,0,0,-6.8,0,0,5,10
3/11/2019,15,0,4,6,5,0,6,5,11,4.1,0,0,4,63
3/12/2019,19,1,1,13,5,0,6,9,15,1.4,0,1.5,3,55
3/13/2019,9,0,2,7,0,0,5,0,5,-2,0,0,5,10
3/15/2019,16,1,0,11,3,2,0,5,5,0.1,0,0,2,50
3/16/2019,10,0,0,9,1,0,1,3,4,-1.8,0,0,1,10
3/17/2019,8,0,4,2,1,1,2,2,4,2.4,0,0,1,10
3/18/2019,18,1,2,10,5,1,6,5,11,4.8,0,0,2,10
3/19/2019,11,0,4,3,3,1,3,3,6,7.2,0,0,2,10
3/20/2019,10,0,0,6,2,2,1,3,4,7.4,0,0,2,10
3/21/2019,14,0,3,10,1,0,2,4,6,5.7,0,0,1,10
3/22/2019,9,0,2,2,4,1,2,3,5,6.2,0,0,0,10
3/23/2019,15,0,2,6,7,0,0,1,1,4.2,0,0,0,32
3/24/2019,7,0,1,6,0,0,0,1,1,0.4,0,0.6,0,32
3/25/2019,9,0,1,5,2,1,0,3,3,4.4,0,0,1,10
3/26/2019,10,0,1,9,0,0,4,0,4,7.2,0,2,1,67
3/27/2019,14,0,3,7,4,0,3,2,5,2.2,0,1,2,32
3/28/2019,7,0,3,2,2,0,2,0,2,2.5,0,0,1,37
3/29/2019,10,0,1,6,2,1,1,3,4,3.6,0,0,1,10
3/30/2019,9,0,1,6,2,0,0,1,1,5.6,0,0,0,50
